OBJECTID,GEOID10,WCCDistrict,DPDPrecinct,DETCouncilDist
132,26163552400,3,,
133,26163552300,3,,
134,26163552200,3,,
135,26163552100,3,,
136,26163552000,3,,
137,26163551800,1,,
138,26163551700,1,,
139,26163551600,1,,
140,26163551500,1,,
141,26163551400,1,,
142,26163551300,1,,
143,26163564800,10,,
144,26163578500,4,,
145,26163594000,15,,
146,26163578600,4,,
147,26163577400,4,,
148,26163985900,2,7,5
149,26163985200,2,5,4
150,26163511200,2,3,5
151,26163985100,3,,5
152,26163510700,3,11,5
153,26163510600,3,11,3
154,26163510500,3,11,3
155,26163510400,3,11,3
156,26163508000,5,12,2
157,26163507900,5,12,2
158,26163507800,5,11,3
159,26163597000,15,,
160,26163589400,11,,
161,26163583200,14,,
162,26163585500,11,,
163,26163561700,10,,
164,26163564600,10,,
165,26163576300,13,,
166,26163580200,15,,
167,26163551200,1,,
168,26163551100,1,,
169,26163550900,1,,
170,26163550800,1,,
171,26163550700,1,,
172,26163550600,1,,
173,26163550500,1,,
174,26163550400,1,,
175,26163550300,1,,
176,26163550200,1,,
177,26163550100,1,,
178,26163546900,7,6,7
179,26163985700,13,,
180,26163574202,13,,
181,26163985000,7,10,6
182,26163526500,7,2,6
183,26163564504,10,,
184,26163564503,10,,
185,26163564502,10,,
186,26163591501,14,,
187,26163591502,14,,
193,26163507500,5,11,3
194,26163507400,5,11,3
195,26163507300,5,11,3
196,26163507200,5,11,3
197,26163507100,5,11,3
198,26163507000,5,11,3
199,26163506900,5,11,3
200,26163506800,5,11,3
201,26163506700,5,11,3
202,26163506600,5,11,3
203,26163506500,3,11,3
204,26163506400,3,11,3
205,26163579800,15,,
206,26163579600,15,,
207,26163554900,8,,
208,26163581200,15,,
209,26163595000,15,,
210,26163599000,14,,
211,26163570400,12,,
212,26163593000,14,,
213,26163579500,15,,
214,26163546800,7,6,7
215,26163546700,7,6,7
216,26163546600,7,6,7
217,26163546500,7,6,7
218,26163546400,7,6,7
219,26163546300,7,6,7
220,26163546100,7,6,7
221,26163546000,7,6,7
222,26163545900,7,6,7
223,26163545800,7,6,7
224,26163545700,7,6,7
225,26163545600,7,6,7
226,26163545500,7,6,7
227,26163545400,7,6,7
228,26163522400,2,3,5
299,26163533900,2,3,5
300,26163568800,12,,
301,26163567201,12,,
302,26163567202,12,,
303,26163564402,10,,
304,26163564501,10,,
305,26163524900,4,4,6
306,26163573701,13,,
307,26163573702,13,,
308,26163506300,3,11,3
309,26163506200,3,11,3
310,26163506100,3,11,3
311,26163505200,3,9,4
312,26163505100,3,11,3
313,26163505000,3,9,3
314,26163504900,3,9,3
315,26163504800,3,11,3
316,26163504700,2,7,3
317,26163504400,3,9,4
318,26163504300,3,9,4
319,26163504200,3,9,4
320,26163565800,12,,
321,26163568500,11,,
322,26163573100,8,,
323,26163568000,12,,
324,26163569700,12,,
325,26163569100,12,,
326,26163560300,9,,
327,26163571000,12,,
328,26163985600,15,,
329,26163582100,15,,
330,26163581900,15,,
331,26163545300,7,6,7
332,26163545200,7,6,7
333,26163545100,7,6,7
334,26163544300,6,8,1
335,26163544200,6,8,1
336,26163544100,7,6,1
337,26163544000,7,6,1
338,26163543900,7,6,1
339,26163543800,7,6,1
340,26163543700,7,6,1
341,26163543600,7,6,1
342,26163543500,6,8,1
343,26163543400,6,8,1
344,26163560200,9,,
345,26163560100,9,,
346,26163561600,10,,
347,26163562800,10,,
348,26163561300,9,,
349,26163561200,9,,
350,26163504100,3,9,4
351,26163504000,3,9,4
352,26163503900,3,9,4
353,26163503600,3,9,3
354,26163503500,3,9,3
355,26163503400,3,9,3
356,26163503300,3,9,3
357,26163503200,3,9,3
358,26163503100,3,9,3
359,26163502000,1,5,4
360,26163501900,1,5,4
361,26163501800,1,5,4
362,26163501700,1,5,4
363,26163501600,1,5,4
364,26163570500,12,,
365,26163590600,11,,
366,26163563700,10,,
367,26163590500,11,,
368,26163546200,7,6,7
369,26163571600,8,,
370,26163572500,8,,
371,26163581800,15,,
372,26163580600,15,,
373,26163569400,12,,
374,26163543200,6,8,1
375,26163543100,6,8,1
376,26163543000,6,8,1
377,26163542900,7,8,1
378,26163542800,7,8,1
379,26163542700,7,6,1
380,26163542600,7,6,1
381,26163542500,7,8,1
382,26163542400,7,8,1
383,26163542300,6,8,1
384,26163542200,6,8,1
385,26163542100,6,8,1
386,26163541800,6,8,1
387,26163564401,10,,
388,26163562600,10,,
389,26163562300,10,,
390,26163512200,2,5,4
391,26163574300,13,,
392,26163568900,12,,
393,26163985500,2,7,5
394,26163517300,2,3,5
395,26163518900,2,7,5
396,26163513700,2,5,5
466,26163501500,1,5,4
467,26163501400,1,5,4
468,26163501300,1,5,4
469,26163501200,3,9,4
470,26163501100,3,9,4
471,26163501000,3,9,4
472,26163500900,1,9,4
473,26163500800,1,9,4
474,26163500700,1,9,4
475,26163500600,3,9,4
476,26163500500,3,9,4
477,26163500400,3,9,4
478,26163500300,1,9,3
479,26163566400,11,,
480,26163567300,12,,
481,26163571900,8,,
482,26163562700,10,,
483,26163554300,8,,
484,26163556900,9,,
485,26163558700,9,,
486,26163557100,9,,
487,26163558100,9,,
488,26163589300,11,,
489,26163541700,6,8,1
490,26163541500,6,8,1
491,26163541400,6,8,1
492,26163541300,6,8,1
493,26163541200,6,8,1
494,26163541100,6,8,1
495,26163541000,6,8,1
496,26163540900,6,8,1
497,26163540800,6,8,1
498,26163540700,6,8,1
499,26163540600,6,8,1
500,26163540500,6,8,1
501,26163540400,6,8,2
502,26163540300,6,8,2
503,26163505400,3,9,4
504,26163505500,2,5,3
505,26163511000,3,11,3
506,26163511300,3,11,3
507,26163523300,4,4,6
508,26163523200,4,4,6
509,26163523100,4,4,6
510,26163522300,2,3,5
511,26163522200,7,3,5
512,26163522100,4,3,6
513,26163522000,2,3,6
576,26163515900,2,7,5
577,26163508100,5,11,3
578,26163511400,2,3,5
579,26163514200,2,7,5
580,26163516000,2,7,5
581,26163522500,2,3,6
590,26163500200,1,9,3
591,26163500100,1,9,3
592,26163577500,4,,
593,26163577200,4,,
594,26163575500,13,,
595,26163576100,13,,
596,26163595200,15,,
597,26163584000,14,,
598,26163584400,14,,
599,26163576400,13,,
600,26163576700,13,,
601,26163562400,10,,
602,26163563400,10,,
603,26163569800,12,,
604,26163583700,14,,
605,26163577600,4,,
606,26163577700,4,,
607,26163573900,13,,
608,26163595100,15,,
609,26163580900,15,,
610,26163563300,10,,
611,26163540200,6,8,2
612,26163540100,6,8,2
613,26163539700,6,12,2
614,26163539600,6,12,2
615,26163539500,6,12,2
616,26163539400,6,12,2
617,26163539300,6,12,2
618,26163539200,6,12,2
619,26163539100,5,12,2
620,26163539000,5,12,2
621,26163538900,5,12,2
622,26163538800,5,12,2
623,26163525000,4,4,6
624,26163530900,5,10,7
625,26163579900,13,,
626,26163552800,3,,
627,26163562500,10,,
633,26163576500,13,,
635,26163577800,4,,
636,26163577900,4,,
637,26163577300,4,,
638,26163581500,15,,
639,26163584700,14,,
640,26163584600,14,,
641,26163584500,14,,
642,26163576600,13,,
643,26163576200,13,,
644,26163578000,4,,
680,26163591600,14,,
681,26163555400,8,,
682,26163554600,8,,
683,26163556300,9,,
684,26163554200,8,,
685,26163558200,8,,
686,26163557200,9,,
687,26163558000,9,,
688,26163567400,12,,
689,26163567800,12,,
